94 4	
	 11.01725408 0.001984793506 0.8767050294 10.79835704
	 10.94210598 0.001943507876 0.8943267358 10.58932401
	 3.733032189 0.003367125379 0.2006944251 62.32661668
	 6.827774485 0.003075830398 0.2530192987 41.95441809
	 9.025801555 0.00242639439 0.2120253345 31.55967127
	 9.595066865 0.002243418852 0.4907490845 27.55219089
	 10.75588383 0.00192597027 0.9038925783 11.97158318
	 10.9656995 0.001915843155 0.9200855843 10.06370699
	 11.0087236 0.001989196034 0.8857131277 10.08945807
	 10.88967361 0.001927935307 0.9199435113 10.38746539
	 10.97562122 0.001855546544 0.9223297595 10.56414122
	 9.032935792 0.002499236258 0.2843175667 29.8800562
	 9.533367095 0.002224765987 0.1652248749 29.32669096
	 11.25175276 0.001764120543 0.8657003026 10.41632218
	 8.806952412 0.002659193269 0.2305237363 29.32903355
	 10.9627497 0.001767238507 0.9131686365 11.2263147
	 11.16835619 0.001783371696 0.8874434044 10.43289494
	 11.13660173 0.001808532733 0.8607648524 10.92745513
	 8.687838095 0.002476238322 0.1814238719 34.23783938
	 10.71475815 0.001891202378 0.8955802947 12.5324902
	 10.90540661 0.001834092267 0.8523452896 12.13301015
	 11.12178868 0.002076497248 0.8866386369 8.559733289
	 4.65588653 0.003268257558 0.27309196 57.4687192
	 8.968390224 0.002438634911 0.2564340748 31.50910701
	 9.02676751 0.002421671335 0.2466662621 31.04467117
	 11.31950163 0.00192000491 0.856021759 8.525211409
	 11.16560189 0.001775409094 0.8567145626 10.14698022
	 7.64565852 0.002802892805 0.1584786945 38.97090209
	 7.511698125 0.002773995793 0.3062641165 41.22796259
	 6.656275391 0.002913638658 0.2200075266 47.12671813
	 9.121605452 0.00234800481 0.3950289533 31.20425536
	 10.62304902 0.001916174338 0.9257020787 11.9613019
	 9.010547242 0.00243861044 0.2349795748 30.79955583
	 10.97793431 0.001828631424 0.9364320745 9.756814756
	 6.979937488 0.002949755755 0.1959457575 43.03594202
	 8.752013702 0.002499888004 0.1596368426 32.89495665
	 10.72949975 0.001904803385 0.9258964841 12.21459431
	 8.129243783 0.002659292583 0.4022773134 36.20975432
	 6.760913873 0.00304339037 0.1401099714 43.19502544
	 9.153599541 0.002341239769 0.4771706342 30.31281647
	 10.8880086 0.001874159269 0.9193587592 10.80981049
	 9.034481199 0.002578362488 0.5125340666 27.30279863
	 8.867461588 0.002360107921 0.2028570887 34.04816836
	 10.76778724 0.00183563426 0.9173298266 11.71433435
	 8.71581223 0.002470014248 0.3392150964 33.26505087
	 9.34749932 0.00230709976 0.3624995933 28.72945764
	 11.13784713 0.001754193927 0.8845385283 10.49743924
	 8.906403101 0.002676560248 0.2069377242 27.45297781
	 7.246701785 0.002862034834 0.2910753586 42.10901111
	 10.76175065 0.001908493766 0.9254399785 9.350280306
	 7.066472377 0.002894551723 0.2853504342 43.51046004
	 11.31490837 0.001704345709 0.8678783486 10.46095512
	 6.84760287 0.002877488073 0.2365024656 46.66563756
	 9.15387135 0.002461228819 0.5056426988 28.14995894
	 5.943206185 0.003085826143 0.3238884568 49.84762414
	 8.505108438 0.002609423268 0.0877035821 32.98657209
	 3.710520383 0.003328628383 0.2765435894 62.0108081
	 7.390205494 0.0027826115 0.2026498145 42.07533311
	 7.073819082 0.002898568673 0.3075554303 42.7958533
	 2.363514529 0.003489996885 0.2688494769 63.65996731
	 5.316472862 0.003176429028 0.262584433 52.67069707
	 9.087644661 0.002374176781 0.5050304469 30.0716002
	 7.52590055 0.002634121856 0.3748899244 43.74199474
	 8.721830992 0.002515742485 0.5655644975 30.97321137
	 9.211101704 0.002370122944 0.4562228507 28.29105651
	 5.04579167 0.003230021862 0.2967452133 53.76203441
	 7.091260385 0.002943385952 0.2671878723 40.67675709
	 7.262387107 0.002916060871 0.3529954413 39.79996639
	 5.934478963 0.002989250546 0.2532715648 51.34331221
	 5.347005459 0.003140697226 0.3409440487 52.92532196
	 9.154616289 0.002362948064 0.3773493045 29.55790056
	 7.382910077 0.0027027159 0.3314971246 43.97324863
	 4.141130858 0.003347522951 0.3124315084 56.75261637
	 5.151923734 0.003185758598 0.272940761 54.00729895
	 8.702854574 0.002595082377 0.3375025632 30.43196002
	 3.325584013 0.003423247804 0.3493331153 59.0330175
	 6.004392504 0.003054825226 0.3431586541 49.35834551
	 3.282154653 0.003400882057 0.2736173862 60.75561723
	 7.188013603 0.002882592863 0.381510954 40.42062208
	 3.024192851 0.003416845659 0.4151998586 62.07733609
	 4.755815416 0.003315730648 0.3133948536 52.03538744
	 5.303522653 0.003184728163 0.4225780609 51.9540524
	 5.376788571 0.003125451939 0.3655392031 52.46046462
	 5.390451306 0.003123403885 0.35972942 53.07281005
	 3.376845055 0.003412091432 0.3099752962 59.45024498
	 5.84239284 0.003079510357 0.4631440952 49.12924663
	 5.533169766 0.003231164892 0.4586971052 46.93067474
	 2.576679639 0.003454858925 0.8789387495 172.6421825
	 1.06570188 0.003490680595 0.3808013312 65.32784376
	 6.727252714 0.002947062668 0.4952358905 42.0473792
	 3.546878175 0.003419112155 0.4898124844 56.83155485
	 1.301580398 0.003475785803 0.4838085744 64.27306131
	 4.072865643 0.0033241814 0.5164827648 54.34107833
	 1.595107822 0.003427281785 0.5966961912 60.46575092
	
