134 3	
	 0.501039102 13.66291332 0.02616610666
	 0.7088059142 8.165399908 0.006209558198
	 0.6997115641 8.481107549 0.00769910406
	 0.6822190785 9.242687519 0.009774942453
	 0.7122625348 8.070214772 0.005474596756
	 0.6465327116 10.30932076 0.01393416206
	 0.6944564836 8.778536726 0.008329358938
	 0.6808720268 9.342053029 0.009297690009
	 0.7065669401 8.322575723 0.008007887803
	 0.6857297625 9.038289219 0.01063093904
	 0.5638133164 12.25210454 0.02329053977
	 0.2073029521 17.85309601 0.03621333164
	 0.6929171383 8.850955168 0.00836237666
	 0.6632059383 9.89655162 0.0115522033
	 0.6293372945 10.68989452 0.01510489255
	 0.3942805153 15.54147622 0.03242077045
	 0.6214764137 10.83420355 0.01668717162
	 0.4583495328 14.44609466 0.0299167975
	 0.6967926083 8.687408319 0.007288112111
	 0.5845955946 11.6887365 0.02044999155
	 0.7404854695 6.95647007 0.004591981748
	 0.2428797246 17.54888899 0.03565499155
	 0.626943187 10.7934566 0.01504546961
	 0.7436757713 6.944131783 0.02135208993
	 0.4753641713 14.12890853 0.02904942194
	 0.3003270954 16.93356866 0.03433699904
	 0.5112989002 13.47915314 0.02531492482
	 0.5427270582 12.73209002 0.02473994557
	 0.7070926248 8.363063672 0.006839956777
	 0.7239008833 7.469176286 0.009445725041
	 0.4527454952 14.61333697 0.02892910748
	 0.4305233812 14.95352064 0.03069836693
	 0.6233402001 10.81529327 0.01592960909
	 0.5800196716 11.87889106 0.02133498487
	 0.7110070497 8.163517482 0.005065589749
	 0.6641053418 9.916025925 0.01115558049
	 0.6991782044 8.65223921 0.007414798401
	 0.7041355631 8.463524588 0.007787582456
	 0.5140712071 13.38890377 0.02577342925
	 0.669783661 9.610012194 0.01199999109
	 0.597919924 11.38297594 0.02070392569
	 0.6784776104 9.473512095 0.008817199177
	 0.3816781821 15.77765081 0.03265409147
	 0.6328756052 10.5952481 0.0153269922
	 0.6433255418 10.36465957 0.01373515396
	 0.6685172326 9.60058445 0.01200468032
	 0.6755403817 9.493275608 0.008989872638
	 0.640444653 10.4386168 0.01519394249
	 0.6732352038 9.516605739 0.01194188457
	 0.6968503747 8.718495059 0.00712673043
	 0.7044754338 8.241502379 0.006272718782
	 0.6808364128 9.292113089 0.009783481462
	 0.6739463139 9.502203085 0.01173536862
	 0.5511339062 12.47873339 0.02457301189
	 0.586939982 11.60425145 0.02106526971
	 0.3279290859 16.55529745 0.03402805394
	 0.564829761 12.16001899 0.02311897031
	 0.3230026239 16.6004004 0.03420446688
	 0.4744953285 14.11533519 0.02953161026
	 0.2649278043 17.35249535 0.03481565837
	 0.4709516481 14.19609485 0.02894442843
	 0.3896568315 15.64606053 0.03225789327
	 0.3947470159 15.58693996 0.03119822518
	 0.6387121516 10.59474723 0.0136003845
	 0.5714290991 12.16447308 0.02111510358
